household_id,crop_code,crop_name,household_size,region_code,is_rural,survey_year,region_name,rainfall_belg_mm,rainfall_belg_pct_of_avg,rainfall_meher_mm,rainfall_meher_pct_of_avg,loss_occurred
1010301804115,13.0,HORSE BEANS,6.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804115,38.0,RED PEPPER,6.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804130,2.0,MAIZE,9.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804130,3.0,MILLET,9.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804130,7.0,TEFF,9.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804130,12.0,HARICOT BEANS,9.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804130,13.0,HORSE BEANS,9.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804130,38.0,RED PEPPER,9.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804145,2.0,MAIZE,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804145,3.0,MILLET,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804145,6.0,SORGHUM,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804145,7.0,TEFF,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804145,13.0,HORSE BEANS,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804145,38.0,RED PEPPER,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010500204001,2.0,MAIZE,3.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010500204001,3.0,MILLET,3.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010500204001,6.0,SORGHUM,3.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010500204001,27.0,SESAME,3.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010500204001,38.0,RED PEPPER,3.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010500204025,2.0,MAIZE,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010500204025,3.0,MILLET,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,1
1010500204025,6.0,SORGHUM,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,1
1010500204025,27.0,SESAME,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,1
1010500204025,-1,UNKNOWN,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010500204049,2.0,MAIZE,6.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010500204049,3.0,MILLET,6.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,1
1010500204049,6.0,SORGHUM,6.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,1
1010500204049,26.0,RAPE SEED,6.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010500204049,27.0,SESAME,6.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,1
